Algorithm,ArraySize,Iteration,TimeMicroseconds,TimeMilliseconds,IsSorted
Single-Threaded Merge Sort,100000,1,61683.00,61.68,true
Single-Threaded Merge Sort,100000,2,63045.00,63.05,true
Single-Threaded Merge Sort,100000,3,63922.00,63.92,true
Single-Threaded Merge Sort,100000,4,65463.00,65.46,true
Single-Threaded Merge Sort,100000,5,68663.00,68.66,true
Single-Threaded Merge Sort,100000,6,63641.00,63.64,true
Single-Threaded Merge Sort,100000,7,61700.00,61.70,true
Single-Threaded Merge Sort,100000,8,62284.00,62.28,true
Single-Threaded Merge Sort,100000,9,59481.00,59.48,true
Single-Threaded Merge Sort,100000,10,58820.00,58.82,true
Single-Threaded Merge Sort,100000,11,60549.00,60.55,true
Single-Threaded Merge Sort,100000,12,64226.00,64.23,true
Single-Threaded Merge Sort,100000,13,61188.00,61.19,true
Single-Threaded Merge Sort,100000,14,58011.00,58.01,true
Single-Threaded Merge Sort,100000,15,51662.00,51.66,true
Single-Threaded Merge Sort,100000,16,54355.00,54.35,true
Single-Threaded Merge Sort,100000,17,52774.00,52.77,true
Single-Threaded Merge Sort,100000,18,57435.00,57.44,true
Single-Threaded Merge Sort,100000,19,60835.00,60.84,true
Single-Threaded Merge Sort,100000,20,57887.00,57.89,true
Single-Threaded Merge Sort,100000,21,58701.00,58.70,true
Single-Threaded Merge Sort,100000,22,53212.00,53.21,true
Single-Threaded Merge Sort,100000,23,56476.00,56.48,true
Single-Threaded Merge Sort,100000,24,58562.00,58.56,true
Single-Threaded Merge Sort,100000,25,58837.00,58.84,true
Single-Threaded Merge Sort,100000,26,55866.00,55.87,true
Single-Threaded Merge Sort,100000,27,56664.00,56.66,true
Single-Threaded Merge Sort,100000,28,58175.00,58.17,true
Single-Threaded Merge Sort,100000,29,51003.00,51.00,true
Single-Threaded Merge Sort,100000,30,63155.00,63.16,true
Single-Threaded Merge Sort,100000,31,54008.00,54.01,true
Single-Threaded Merge Sort,100000,32,50262.00,50.26,true
Single-Threaded Merge Sort,100000,33,51476.00,51.48,true
Single-Threaded Merge Sort,100000,34,56364.00,56.36,true
Single-Threaded Merge Sort,100000,35,50229.00,50.23,true
Single-Threaded Merge Sort,100000,36,46920.00,46.92,true
Single-Threaded Merge Sort,100000,37,47255.00,47.26,true
Single-Threaded Merge Sort,100000,38,48460.00,48.46,true
Single-Threaded Merge Sort,100000,39,51096.00,51.10,true
Single-Threaded Merge Sort,100000,40,47985.00,47.98,true
Single-Threaded Merge Sort,100000,41,48512.00,48.51,true
Single-Threaded Merge Sort,100000,42,55006.00,55.01,true
Single-Threaded Merge Sort,100000,43,48231.00,48.23,true
Single-Threaded Merge Sort,100000,44,53744.00,53.74,true
Single-Threaded Merge Sort,100000,45,47942.00,47.94,true
Single-Threaded Merge Sort,100000,46,50225.00,50.23,true
Single-Threaded Merge Sort,100000,47,49028.00,49.03,true
Single-Threaded Merge Sort,100000,48,49686.00,49.69,true
Single-Threaded Merge Sort,100000,49,46324.00,46.32,true
Single-Threaded Merge Sort,100000,50,55931.00,55.93,true
Single-Threaded Merge Sort,100000,51,48911.00,48.91,true
Single-Threaded Merge Sort,100000,52,51307.00,51.31,true
Single-Threaded Merge Sort,100000,53,46797.00,46.80,true
Single-Threaded Merge Sort,100000,54,50215.00,50.22,true
Single-Threaded Merge Sort,100000,55,48591.00,48.59,true
Single-Threaded Merge Sort,100000,56,46894.00,46.89,true
Single-Threaded Merge Sort,100000,57,48585.00,48.59,true
Single-Threaded Merge Sort,100000,58,50971.00,50.97,true
Single-Threaded Merge Sort,100000,59,49298.00,49.30,true
Single-Threaded Merge Sort,100000,60,50463.00,50.46,true
Single-Threaded Merge Sort,100000,61,53166.00,53.17,true
Single-Threaded Merge Sort,100000,62,48244.00,48.24,true
Single-Threaded Merge Sort,100000,63,48351.00,48.35,true
Single-Threaded Merge Sort,100000,64,49221.00,49.22,true
Single-Threaded Merge Sort,100000,65,47438.00,47.44,true
Single-Threaded Merge Sort,100000,66,51553.00,51.55,true
Single-Threaded Merge Sort,100000,67,47844.00,47.84,true
Single-Threaded Merge Sort,100000,68,52481.00,52.48,true
Single-Threaded Merge Sort,100000,69,48868.00,48.87,true
Single-Threaded Merge Sort,100000,70,48405.00,48.41,true
Single-Threaded Merge Sort,100000,71,52240.00,52.24,true
Single-Threaded Merge Sort,100000,72,55577.00,55.58,true
Single-Threaded Merge Sort,100000,73,50044.00,50.04,true
Single-Threaded Merge Sort,100000,74,53518.00,53.52,true
Single-Threaded Merge Sort,100000,75,47970.00,47.97,true
Single-Threaded Merge Sort,100000,76,49029.00,49.03,true
Single-Threaded Merge Sort,100000,77,50131.00,50.13,true
Single-Threaded Merge Sort,100000,78,47654.00,47.65,true
Single-Threaded Merge Sort,100000,79,50626.00,50.63,true
Single-Threaded Merge Sort,100000,80,49458.00,49.46,true
Single-Threaded Merge Sort,100000,81,50329.00,50.33,true
Single-Threaded Merge Sort,100000,82,48037.00,48.04,true
